Name,ranking
"Adam Mickiewicz University, Poznań",985
Ain Shams University,986
Al-Farabi Kazakh National University,987
University of Algarve,988
University of Almería,989
Amity University,990
University of Anbar,991
"University of the Andes, Colombia",992
Arts et Métiers,993
Assiut University,994
Atılım University,995
Autonomous University of Sinaloa,996
Babeş-Bolyai University,997
Bahauddin Zakariya University,998
Bayero University,999
Beijing Jiaotong University,1000
